job_title,experience_level,work_models,employee_residence,salary_in_usd,company_location,company_size
Data Scientist,Senior-level,On-site,United States,145000,United States,Medium
Research Scientist,Senior-level,On-site,United States,258100,United States,Medium
Research Scientist,Senior-level,On-site,United States,151900,United States,Medium
Data Science,Mid-level,On-site,United States,179000,United States,Medium
Data Science,Mid-level,On-site,United States,106500,United States,Medium
Data Scientist,Mid-level,On-site,United States,212800,United States,Large
Data Scientist,Mid-level,On-site,United States,111600,United States,Large
Machine Learning Engineer,Senior-level,Remote,United States,166700,United States,Medium
Machine Learning Engineer,Senior-level,Remote,United States,150000,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,220000,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,170000,United States,Medium
Machine Learning Engineer,Senior-level,Remote,United States,418000,United States,Medium
Machine Learning Engineer,Senior-level,Remote,United States,141000,United States,Medium
Research Engineer,Senior-level,On-site,United States,440000,United States,Medium
Research Engineer,Senior-level,On-site,United States,100000,United States,Medium
Managing Director Data Science,Executive-level,Hybrid,United States,260000,United States,Large
Data Scientist,Executive-level,On-site,United States,246100,United States,Medium
Data Scientist,Executive-level,On-site,United States,181900,United States,Medium
Machine Learning Engineer,Entry-level,On-site,United States,91000,United States,Medium
Machine Learning Engineer,Entry-level,On-site,United States,70000,United States,Medium
Business Intelligence Developer,Executive-level,On-site,United States,177500,United States,Medium
Business Intelligence Developer,Executive-level,On-site,United States,117500,United States,Medium
Business Intelligence Analyst,Entry-level,On-site,United States,95000,United States,Medium
Business Intelligence Analyst,Entry-level,On-site,United States,70000,United States,Medium
Data Science,Senior-level,On-site,United States,258720,United States,Medium
Data Science,Senior-level,On-site,United States,160000,United States,Medium
BI Developer,Mid-level,On-site,United States,154800,United States,Medium
BI Developer,Mid-level,On-site,United States,76300,United States,Medium
AI Engineer,Mid-level,On-site,United States,170200,United States,Medium
AI Engineer,Mid-level,On-site,United States,83900,United States,Medium
Data Engineer,Senior-level,Remote,United States,205000,United States,Medium
Data Engineer,Senior-level,Remote,United States,165000,United States,Medium
Data Scientist,Mid-level,On-site,United States,250000,United States,Medium
Data Scientist,Mid-level,On-site,United States,131600,United States,Medium
Data Scientist,Senior-level,On-site,United States,240000,United States,Medium
Data Scientist,Senior-level,On-site,United States,187000,United States,Medium
Data Engineer,Mid-level,On-site,United States,134600,United States,Medium
Data Engineer,Mid-level,On-site,United States,103000,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,324000,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,159000,United States,Medium
Data Engineer,Senior-level,On-site,United States,385000,United States,Medium
Data Engineer,Senior-level,On-site,United States,245000,United States,Medium
Data Scientist,Mid-level,On-site,United States,385000,United States,Medium
Data Scientist,Mid-level,On-site,United States,245000,United States,Medium
Data Engineer,Mid-level,On-site,United States,214300,United States,Medium
Data Engineer,Mid-level,On-site,United States,108500,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,245700,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,132300,United States,Medium
Data Specialist,Mid-level,On-site,United States,80000,United States,Medium
Data Specialist,Mid-level,On-site,United States,73000,United States,Medium
Machine Learning Engineer,Senior-level,Remote,United States,263500,United States,Medium
Machine Learning Engineer,Senior-level,Remote,United States,189360,United States,Medium
Data Architect,Senior-level,Remote,United States,175000,United States,Medium
Data Architect,Senior-level,Remote,United States,125000,United States,Medium
Data Science,Executive-level,On-site,United States,175762,United States,Medium
Data Science,Executive-level,On-site,United States,97254,United States,Medium
Applied Scientist,Senior-level,Remote,United States,218213,United States,Medium
Applied Scientist,Senior-level,Remote,United States,178538,United States,Medium
Research Engineer,Mid-level,On-site,United States,440000,United States,Medium
Research Engineer,Mid-level,On-site,United States,295000,United States,Medium
Research Engineer,Mid-level,On-site,United States,118600,United States,Medium
Research Engineer,Mid-level,On-site,United States,96800,United States,Medium
Data Scientist,Mid-level,On-site,United States,198800,United States,Medium
Data Scientist,Mid-level,On-site,United States,90700,United States,Medium
Data Engineer,Senior-level,On-site,United States,145000,United States,Medium
Data Engineer,Senior-level,On-site,United States,115000,United States,Medium
Data Engineer,Senior-level,On-site,United States,269100,United States,Medium
Data Engineer,Senior-level,On-site,United States,131300,United States,Medium
Research Engineer,Mid-level,On-site,United States,245000,United States,Medium
Data Analyst,Entry-level,On-site,United States,99900,United States,Medium
Data Analyst,Entry-level,On-site,United States,83000,United States,Medium
Research Engineer,Mid-level,On-site,United States,240960,United States,Medium
Research Engineer,Mid-level,On-site,United States,190000,United States,Medium
Data Architect,Senior-level,On-site,United States,178600,United States,Medium
Data Architect,Senior-level,On-site,United States,67200,United States,Medium
Data Visualization Specialist,Mid-level,On-site,United States,170200,United States,Medium
Data Visualization Specialist,Mid-level,On-site,United States,83900,United States,Medium
Data Analyst,Senior-level,Remote,United States,169000,United States,Medium
Data Analyst,Senior-level,Remote,United States,120000,United States,Medium
Research Engineer,Senior-level,On-site,United States,450000,United States,Medium
Research Engineer,Senior-level,On-site,United States,245000,United States,Medium
ETL Developer,Senior-level,On-site,United States,99500,United States,Medium
ETL Developer,Senior-level,On-site,United States,53300,United States,Medium
Research Engineer,Senior-level,On-site,United States,240960,United States,Medium
Research Engineer,Senior-level,On-site,United States,200800,United States,Medium
Data Science Practitioner,Mid-level,On-site,United States,170200,United States,Medium
Data Science Practitioner,Mid-level,On-site,United States,83900,United States,Medium
Data Engineer,Mid-level,Remote,United States,125000,United States,Medium
Data Engineer,Mid-level,Remote,United States,115000,United States,Medium
Data Science,Senior-level,On-site,United States,261050,United States,Medium
Data Science,Senior-level,On-site,United States,187000,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,331640,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,283780,United States,Medium
Data Analyst,Senior-level,On-site,United States,146500,United States,Medium
Data Analyst,Senior-level,On-site,United States,96000,United States,Medium
Computer Vision Engineer,Senior-level,On-site,United States,235000,United States,Medium
Computer Vision Engineer,Senior-level,On-site,United States,185000,United States,Medium
Data Scientist,Mid-level,Remote,United States,140400,United States,Medium
Data Scientist,Mid-level,Remote,United States,90000,United States,Medium
Research Scientist,Senior-level,On-site,United States,440000,United States,Medium
Research Scientist,Senior-level,On-site,United States,245000,United States,Medium
Data Architect,Senior-level,On-site,United States,76300,United States,Medium
Data Engineer,Senior-level,On-site,United States,260000,United States,Medium
Data Engineer,Senior-level,On-site,United States,225000,United States,Medium
Data Engineer,Senior-level,On-site,United States,165000,United States,Medium
Data Engineer,Senior-level,On-site,United States,137000,United States,Medium
Applied Scientist,Senior-level,On-site,United States,260000,United States,Large
Applied Scientist,Senior-level,On-site,United States,136000,United States,Large
Data Scientist,Senior-level,On-site,United States,296100,United States,Medium
Data Scientist,Senior-level,On-site,United States,144500,United States,Medium
Research Scientist,Senior-level,On-site,United States,278700,United States,Medium
Research Scientist,Senior-level,On-site,United States,159300,United States,Medium
Data Scientist,Senior-level,Remote,United States,206000,United States,Medium
Data Scientist,Senior-level,Remote,United States,140250,United States,Medium
Analytics Engineer,Mid-level,On-site,United States,100000,United States,Medium
Analytics Engineer,Mid-level,On-site,United States,75000,United States,Medium
Data Lead,Senior-level,On-site,United States,180000,United States,Medium
Data Lead,Senior-level,On-site,United States,140000,United States,Medium
Data Analyst,Senior-level,On-site,United States,116800,United States,Medium
Data Analyst,Senior-level,On-site,United States,87600,United States,Medium
Data Scientist,Senior-level,On-site,United States,170000,United States,Medium
Data Scientist,Senior-level,On-site,United States,125000,United States,Medium
Data Architect,Senior-level,On-site,United States,283500,United States,Medium
Data Architect,Senior-level,On-site,United States,149000,United States,Medium
ML Engineer,Senior-level,On-site,United States,357900,United States,Medium
ML Engineer,Senior-level,On-site,United States,189400,United States,Medium
Data Scientist,Senior-level,On-site,United States,212000,United States,Medium
Data Scientist,Senior-level,On-site,United States,93400,United States,Medium
Data Engineer,Senior-level,On-site,United States,128656,United States,Medium
Data Engineer,Senior-level,On-site,United States,103330,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,250900,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,135200,United States,Medium
Applied Scientist,Senior-level,On-site,United States,414000,United States,Medium
Applied Scientist,Senior-level,On-site,United States,216000,United States,Medium
Data Specialist,Mid-level,On-site,United States,69000,United States,Medium
Data Specialist,Mid-level,On-site,United States,51000,United States,Medium
Data Analyst,Senior-level,On-site,United States,109000,United States,Medium
Data Analyst,Senior-level,On-site,United States,62300,United States,Medium
Analytics Engineer,Mid-level,On-site,United States,134160,United States,Medium
Analytics Engineer,Mid-level,On-site,United States,72240,United States,Medium
Data Analyst,Mid-level,On-site,United States,90500,United States,Medium
Data Analyst,Mid-level,On-site,United States,42400,United States,Medium
Data Architect,Senior-level,On-site,United States,381500,United States,Medium
Data Architect,Senior-level,On-site,United States,202500,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,257000,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,129000,United States,Medium
Data Analyst,Entry-level,Remote,United States,120000,United States,Medium
Data Analyst,Entry-level,Remote,United States,100000,United States,Medium
Data Analyst,Entry-level,On-site,United States,80000,United States,Medium
Data Analyst,Entry-level,On-site,United States,45700,United States,Medium
Data Science,Senior-level,On-site,United States,138000,United States,Medium
Data Science,Senior-level,On-site,United States,86000,United States,Medium
Data Science,Senior-level,On-site,United States,152000,United States,Medium
Data Science,Senior-level,On-site,United States,133200,United States,Medium
Data Analyst,Senior-level,On-site,United States,135000,United States,Medium
Data Analyst,Senior-level,On-site,United States,120000,United States,Medium
Data Engineer,Senior-level,On-site,United States,175000,United States,Medium
Data Engineer,Senior-level,On-site,United States,150000,United States,Medium
Data Developer,Mid-level,On-site,United States,100000,United States,Medium
Data Developer,Mid-level,On-site,United States,95000,United States,Medium
Data Analyst,Senior-level,Remote,United States,134200,United States,Medium
Data Analyst,Senior-level,Remote,United States,117000,United States,Medium
Research Scientist,Mid-level,On-site,United States,179000,United States,Medium
Research Scientist,Mid-level,On-site,United States,112000,United States,Medium
Data Architect,Senior-level,On-site,United States,234000,United States,Medium
Data Architect,Senior-level,On-site,United States,146000,United States,Medium
Data Analyst,Entry-level,Remote,United States,75065,United States,Medium
Data Analyst,Entry-level,Remote,United States,41419,United States,Medium
Data Engineer,Mid-level,On-site,United States,107800,United States,Medium
Data Engineer,Mid-level,On-site,United States,61600,United States,Medium
ML Engineer,Senior-level,On-site,United States,324000,United States,Medium
ML Engineer,Senior-level,On-site,United States,159000,United States,Medium
Data Analyst,Entry-level,Remote,United States,80000,United States,Medium
Data Analyst,Entry-level,Remote,United States,75000,United States,Medium
Research Scientist,Senior-level,On-site,United States,179000,United States,Medium
Research Scientist,Senior-level,On-site,United States,112000,United States,Medium
Data Engineer,Senior-level,On-site,United States,247300,United States,Medium
Data Engineer,Senior-level,On-site,United States,139700,United States,Medium
Data Analyst,Entry-level,On-site,United States,93000,United States,Medium
Data Analyst,Entry-level,On-site,United States,65750,United States,Medium
Research Scientist,Senior-level,On-site,United States,234000,United States,Medium
Research Scientist,Senior-level,On-site,United States,146000,United States,Medium
Data Engineer,Mid-level,On-site,United States,130000,United States,Medium
Data Engineer,Mid-level,On-site,United States,90800,United States,Medium
Data Engineer,Mid-level,On-site,United States,166000,United States,Medium
Data Engineer,Mid-level,On-site,United States,73100,United States,Medium
Data Scientist,Mid-level,On-site,United States,166000,United States,Medium
Data Scientist,Mid-level,On-site,United States,73100,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,186754,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,101000,United States,Medium
Data Scientist,Senior-level,On-site,United States,80000,United States,Medium
Data Scientist,Senior-level,On-site,United States,67500,United States,Medium
Data Engineer,Senior-level,On-site,United States,138000,United States,Medium
Data Engineer,Senior-level,On-site,United States,86000,United States,Medium
Data Engineer,Mid-level,On-site,United States,106050,United States,Medium
Data Engineer,Mid-level,On-site,United States,80420,United States,Medium
Data Analyst,Entry-level,On-site,United States,179000,United States,Medium
Data Analyst,Entry-level,On-site,United States,112000,United States,Medium
Research Engineer,Senior-level,On-site,United States,234000,United States,Medium
Research Engineer,Senior-level,On-site,United States,146000,United States,Medium
Data Architect,Senior-level,On-site,United States,186000,United States,Medium
Data Architect,Senior-level,On-site,United States,81800,United States,Medium
Data Engineer,Senior-level,On-site,United States,160000,United States,Medium
Data Engineer,Senior-level,On-site,United States,94100,United States,Medium
Data Engineer,Executive-level,On-site,United States,225000,United States,Medium
Data Engineer,Executive-level,On-site,United States,215000,United States,Medium
Machine Learning Engineer,Senior-level,Remote,United States,303400,United States,Medium
Machine Learning Engineer,Senior-level,Remote,United States,216700,United States,Medium
Machine Learning Engineer,Mid-level,On-site,United States,166000,United States,Medium
Machine Learning Engineer,Mid-level,On-site,United States,73100,United States,Medium
Data Modeler,Senior-level,Remote,United States,130000,United States,Medium
Data Modeler,Senior-level,Remote,United States,110000,United States,Medium
Data Engineer,Mid-level,On-site,United States,115000,United States,Medium
Data Engineer,Mid-level,On-site,United States,80000,United States,Medium
Machine Learning Engineer,Senior-level,Remote,United States,195000,United States,Medium
Machine Learning Engineer,Senior-level,Remote,United States,170000,United States,Medium
Research Scientist,Senior-level,On-site,United States,295000,United States,Medium
Data Engineer,Senior-level,Remote,United States,152375,United States,Medium
Data Engineer,Senior-level,Remote,United States,94000,United States,Medium
Data Developer,Senior-level,Remote,United States,180000,United States,Medium
Data Developer,Senior-level,Remote,United States,130000,United States,Medium
Analytics Engineer,Senior-level,Remote,United States,195000,United States,Medium
Analytics Engineer,Senior-level,Remote,United States,165000,United States,Medium
Data Scientist,Mid-level,On-site,United States,218000,United States,Medium
Data Scientist,Mid-level,On-site,United States,152600,United States,Medium
Machine Learning Scientist,Mid-level,On-site,United States,750000,United States,Medium
Machine Learning Scientist,Mid-level,On-site,United States,150000,United States,Medium
Data Scientist,Senior-level,On-site,United States,136197,United States,Medium
Data Scientist,Senior-level,On-site,United States,100000,United States,Medium
Research Engineer,Senior-level,On-site,United States,295000,United States,Medium
Data Engineer,Executive-level,On-site,United States,179000,United States,Medium
Data Engineer,Executive-level,On-site,United States,112000,United States,Medium
Data Scientist,Mid-level,On-site,United States,175100,United States,Medium
Data Scientist,Mid-level,On-site,United States,82915,United States,Medium
Data Science Consultant,Senior-level,On-site,United States,112000,United States,Medium
Data Science Consultant,Senior-level,On-site,United States,109000,United States,Medium
Analytics Engineer,Mid-level,On-site,United States,116550,United States,Medium
Analytics Engineer,Mid-level,On-site,United States,79200,United States,Medium
Data Scientist,Mid-level,Remote,United States,168000,United States,Medium
Data Scientist,Mid-level,Remote,United States,120000,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,210000,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,160000,United States,Medium
Data Engineer,Senior-level,On-site,United States,116000,United States,Medium
Data Engineer,Senior-level,On-site,United States,90000,United States,Medium
Research Scientist,Senior-level,On-site,United States,247600,United States,Large
Research Scientist,Senior-level,On-site,United States,127300,United States,Large
Data Scientist,Senior-level,Remote,United States,190600,United States,Medium
Data Scientist,Senior-level,Remote,United States,94400,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,258100,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,151900,United States,Medium
Research Engineer,Mid-level,On-site,United States,720000,United States,Medium
Research Engineer,Mid-level,On-site,United States,100000,United States,Medium
Data Analyst,Senior-level,On-site,United States,171000,United States,Medium
Data Analyst,Senior-level,On-site,United States,93000,United States,Medium
Data Science Consultant,Senior-level,On-site,United States,104000,United States,Medium
Data Science Consultant,Senior-level,On-site,United States,80000,United States,Medium
Data Analyst,Mid-level,On-site,United States,158000,United States,Medium
Data Analyst,Mid-level,On-site,United States,106000,United States,Medium
Research Scientist,Mid-level,On-site,United States,720000,United States,Medium
Research Scientist,Mid-level,On-site,United States,100000,United States,Medium
Data Analyst,Senior-level,On-site,United States,140130,United States,Medium
Data Analyst,Senior-level,On-site,United States,84870,United States,Medium
Data Scientist,Senior-level,Remote,United States,220000,United States,Medium
Data Scientist,Senior-level,Remote,United States,170000,United States,Medium
Business Intelligence Developer,Mid-level,On-site,United States,117750,United States,Medium
Business Intelligence Developer,Mid-level,On-site,United States,70650,United States,Medium
Data Engineer,Senior-level,On-site,United States,233200,United States,Medium
Data Engineer,Senior-level,On-site,United States,144200,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,247500,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,172200,United States,Medium
Data Engineer,Mid-level,On-site,United States,138000,United States,Medium
Data Engineer,Mid-level,On-site,United States,86000,United States,Medium
Business Intelligence Developer,Mid-level,On-site,United States,92000,United States,Medium
Business Intelligence Developer,Mid-level,On-site,United States,80000,United States,Medium
BI Developer,Senior-level,Remote,United States,90000,United States,Medium
BI Developer,Senior-level,Remote,United States,70000,United States,Medium
Business Intelligence Analyst,Senior-level,On-site,United States,127000,United States,Medium
Business Intelligence Analyst,Senior-level,On-site,United States,72600,United States,Medium
Data Developer,Entry-level,Remote,United States,70000,United States,Medium
Data Developer,Entry-level,Remote,United States,50000,United States,Medium
Data Analyst,Entry-level,On-site,United States,71000,United States,Medium
AI Architect,Senior-level,On-site,United States,198650,United States,Medium
AI Architect,Senior-level,On-site,United States,137000,United States,Medium
Data Architect,Senior-level,On-site,United States,160000,United States,Medium
Data Architect,Senior-level,On-site,United States,100000,United States,Medium
Data Analyst,Entry-level,Remote,United States,92700,United States,Medium
Data Analyst,Entry-level,Remote,United States,64900,United States,Medium
Data Scientist,Mid-level,On-site,United States,73000,United States,Medium
Data Analyst,Mid-level,Remote,United States,81713,United States,Medium
Data Analyst,Mid-level,Remote,United States,48067,United States,Medium
Machine Learning Engineer,Mid-level,On-site,United States,179000,United States,Medium
Machine Learning Engineer,Mid-level,On-site,United States,112000,United States,Medium
Data Science,Senior-level,On-site,United States,111800,United States,Medium
Data Science,Senior-level,On-site,United States,68195,United States,Medium
Business Intelligence Analyst,Senior-level,On-site,United States,132000,United States,Medium
Business Intelligence Analyst,Senior-level,On-site,United States,82500,United States,Medium
Research Engineer,Mid-level,On-site,United States,140000,United States,Medium
Data Analyst,Mid-level,Remote,United States,85000,United States,Medium
Data Analyst,Mid-level,Remote,United States,61800,United States,Medium
Data Analyst,Mid-level,On-site,United States,129118,United States,Medium
Data Analyst,Mid-level,On-site,United States,86078,United States,Medium
Data Scientist,Mid-level,On-site,United States,97000,United States,Medium
Data Scientist,Mid-level,On-site,United States,62000,United States,Medium
Data Science Manager,Mid-level,Remote,United States,237000,United States,Medium
Data Science Manager,Mid-level,Remote,United States,201450,United States,Medium
Research Engineer,Senior-level,On-site,United States,97000,United States,Medium
Research Engineer,Senior-level,On-site,United States,62000,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,253000,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,187000,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,250000,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,150000,United States,Medium
Data Engineer,Mid-level,On-site,United States,184000,United States,Medium
Data Engineer,Mid-level,On-site,United States,123000,United States,Medium
Data Scientist,Senior-level,On-site,United States,245000,United States,Medium
Data Scientist,Senior-level,On-site,United States,180000,United States,Medium
Data Engineer,Senior-level,On-site,United States,184000,United States,Medium
Data Engineer,Senior-level,On-site,United States,123000,United States,Medium
AI Architect,Senior-level,On-site,United States,317000,United States,Medium
AI Architect,Senior-level,On-site,United States,266000,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,229000,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,221000,United States,Medium
Data Engineer,Senior-level,Remote,United States,210000,United States,Medium
Data Engineer,Senior-level,Remote,United States,162000,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,198000,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,162000,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,300000,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,180000,United States,Medium
Data Scientist,Mid-level,On-site,United States,68088,United States,Medium
Data Scientist,Mid-level,On-site,United States,54552,United States,Medium
Data Scientist,Senior-level,On-site,United States,324000,United States,Medium
Data Scientist,Senior-level,On-site,United States,159000,United States,Medium
Data Analytics Manager,Mid-level,On-site,United States,99000,United States,Medium
Data Analytics Manager,Mid-level,On-site,United States,70000,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,146000,United States,Medium
Data Engineer,Mid-level,Remote,United States,110000,United States,Medium
Data Engineer,Mid-level,Remote,United States,90000,United States,Medium
Data Scientist,Mid-level,On-site,United States,60000,United States,Medium
Data Scientist,Mid-level,On-site,United States,55000,United States,Medium
Data Analyst,Entry-level,On-site,United States,116013,United States,Medium
Data Analyst,Entry-level,On-site,United States,92810,United States,Medium
Research Analyst,Senior-level,On-site,United States,200000,United States,Medium
Research Analyst,Senior-level,On-site,United States,150000,United States,Medium
Data Engineer,Senior-level,On-site,United States,221000,United States,Medium
Data Engineer,Mid-level,On-site,United States,146100,United States,Medium
Data Engineer,Mid-level,On-site,United States,86500,United States,Medium
Data Scientist,Senior-level,On-site,United States,159300,United States,Medium
Data Scientist,Senior-level,On-site,United States,96600,United States,Medium
Data Engineer,Senior-level,On-site,United States,209300,United States,Medium
Data Engineer,Senior-level,On-site,United States,118300,United States,Medium
Data Scientist,Senior-level,Remote,United States,130000,United States,Medium
Data Engineer,Senior-level,Remote,United States,140000,United States,Medium
Data Engineer,Senior-level,Remote,United States,97200,United States,Medium
Data Analyst,Senior-level,Remote,United States,140000,United States,Medium
Data Engineer,Mid-level,On-site,United States,308000,United States,Medium
Data Engineer,Mid-level,On-site,United States,193000,United States,Medium
Data Engineer,Senior-level,On-site,United States,240000,United States,Medium
Data Engineer,Senior-level,On-site,United States,180000,United States,Medium
Data Analyst,Senior-level,On-site,United States,126480,United States,Medium
Data Analyst,Senior-level,On-site,United States,82620,United States,Medium
Data Scientist,Mid-level,Remote,United States,140025,United States,Medium
Data Scientist,Mid-level,Remote,United States,102300,United States,Medium
Research Scientist,Mid-level,Remote,United States,81500,United States,Medium
Research Scientist,Mid-level,Remote,United States,75000,United States,Medium
Data Scientist,Senior-level,On-site,United States,106875,United States,Medium
Data Scientist,Senior-level,On-site,United States,71250,United States,Medium
Data Science Engineer,Mid-level,Remote,United States,245000,United States,Medium
Data Science Engineer,Mid-level,Remote,United States,135000,United States,Medium
Business Intelligence Developer,Senior-level,On-site,United States,144138,United States,Medium
Business Intelligence Developer,Senior-level,On-site,United States,104828,United States,Medium
Data Scientist,Senior-level,On-site,United States,161000,United States,Medium
Data Scientist,Senior-level,On-site,United States,133200,United States,Medium
Data Scientist,Mid-level,On-site,United States,161875,United States,Medium
Data Scientist,Mid-level,On-site,United States,97125,United States,Medium
Machine Learning Engineer,Senior-level,Remote,United States,196350,United States,Medium
Machine Learning Engineer,Senior-level,Remote,United States,127500,United States,Medium
Data Scientist,Mid-level,Remote,United States,135450,United States,Medium
Data Scientist,Mid-level,Remote,United States,72870,United States,Medium
Data Science,Senior-level,On-site,United States,237200,United States,Medium
Data Science,Senior-level,On-site,United States,172500,United States,Medium
Data Scientist,Senior-level,On-site,United States,184800,United States,Medium
Data Scientist,Senior-level,On-site,United States,161900,United States,Medium
Data Scientist,Senior-level,On-site,United States,146800,United States,Medium
